Agency,AgencyAcronym,Reporting Period,Agency Size,Question Number,Question,Answer,External Data Type
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.1(H),Organization operated Systems (H),1,Inventory
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.1(M),Organization operated Systems (M),1,Inventory
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.1(L),Organization operated Systems (L),1,Inventory
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.2(H),Contractor operated Systems (H),1,Inventory
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.2(M),Contractor operated Systems (M),1,Inventory
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.3(H),Systems (from 1.1.1 and 1.1.2) with Authority to Operate (ATO) (H),1,Inventory
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.3(M),Systems (from 1.1.1 and 1.1.2) with Authority to Operate (ATO) (M),1,Inventory
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.3(L),Systems (from 1.1.1 and 1.1.2) with Authority to Operate (ATO) (L),1,Inventory
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.3(H),Systems (from 1.1.1 and 1.1.2) with Authority to Operate (ATO) (H),1,Inventory
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.3(M),Systems (from 1.1.1 and 1.1.2) with Authority to Operate (ATO) (M),1,Inventory
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.3(L),Systems (from 1.1.1 and 1.1.2) with Authority to Operate (ATO) (L),1,Inventory
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.5,"Number of High Value Asset (HVA) systems reported to the BOD 18-02 data call in CyberScope this quarter. (OMB M-19-03, DHS BOD 18-02, provided by DHS HVA PMO) [2]",21,HVA
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.5.1,Number of Tier 1,5,Tier1
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.5.2,Number of Non-Tier 1,16,Non-Tier1
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.6,Number of systems (from 1.1.1 and 1.1.2) that include Operational Technology [3] devices,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.7,Number of systems (from 1.1.1 and 1.1.2) that include Internet of Things platforms. [4],,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.7.1,Number of systems from 1.1.7 with Internet of Things devices or platforms that have received a waiver from meeting standards set by NIST 800-213.,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.1.2(L),Contractor operated Systems (L),1,Inventory
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.2.1,GFE endpoints,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.2.2,GFE networking devices,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.2.3,GFE input/output devices,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.2.4,Average CDM discovered [6] GFE endpoints,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.2.5,Average CDM discovered GFE networking devices,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.2.6,Average CDM discovered GFE input/output devices,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.2.7,Average CDM discovered 'unknown' devices,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.3.1,Every 7 days,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.3.2,Every 14 days,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.3.3,Every 30 days,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.4,Total count of unsupported active legacy/End-of-Life/End-of-Service/extended support software instances,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.4.1,Total count of active extended support licenses,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.4.2,Total count of unsupported Windows server licenses in use,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,1.4.3,Total count of unsupported Windows desktop licenses in use,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.1.a.i,2.1 FISMA High Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.1.a.ii,2.1 FISMA High Systems from 1.1.2,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.1.b.i,2.1 FISMA Moderate Systems from 1.1.1,,
Department of Transportation,DOT,FISMA Quarterly CIO 2023 Q4,Large,2.1.b.ii,2.1 FISMA Moderate Systems from 1.1.2,,
