Agency,Bureau,2.1 (H),2.1 (M),2.1 (L),2.1.1 (H),2.1.1 (M),2.1.1 (L),2.2 (H),2.2 (M),2.2 (L),2.3 (H),2.3 (M),2.3 (L),2.4 (H),2.4 (M),2.4 (L)
Department of Agriculture,DAITO,0,24,1,0,24,1,0,24,1,0,23,1,0,0,0
Department of Agriculture,FNCS,0,8,0,0,8,0,0,8,0,0,8,0,0,0,0
Department of Agriculture,FPAC,0,61,0,0,59,0,0,59,16,0,53,14,0,0,0
Department of Agriculture,FS,0,10,0,0,10,0,0,10,0,0,10,0,0,0,0
Department of Agriculture,MRP,0,31,0,0,31,0,0,34,4,0,33,2,0,0,1
Department of Agriculture,NRE,0,29,0,0,28,0,0,28,3,0,21,2,0,0,0
Department of Agriculture,OCIO,9,23,1,8,23,1,9,23,2,7,23,2,1,0,0
Department of Agriculture,OIG,0,3,0,0,3,0,0,3,0,0,2,0,0,1,0
Department of Agriculture,RD,0,17,0,0,17,0,0,19,1,0,17,1,0,0,0
Department of Agriculture,REE,1,8,0,1,8,0,1,7,1,1,8,1,0,0,0
Department of Agriculture,TFAA,0,2,0,0,2,0,0,2,1,0,2,1,0,0,0
Department of Commerce,BEA,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Department of Commerce,BIS,2,2,0,1,2,0,2,2,0,0,0,0,2,2,0
Department of Commerce,Census,0,8,0,0,8,0,0,8,0,0,8,0,0,0,0
Department of Commerce,EDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Commerce,FirstNet,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Department of Commerce,ITA,0,14,4,0,11,4,0,13,3,0,10,4,0,0,1
Department of Commerce,MBDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Commerce,NIST,4,39,0,4,36,0,4,38,2,1,2,0,0,2,0
Department of Commerce,NOAA,14,42,0,9,29,0,16,41,5,12,37,5,2,2,0
Department of Commerce,NTIA,0,6,1,0,6,1,0,6,1,0,0,0,0,2,0
Department of Commerce,NTIS,0,6,0,0,5,0,0,6,0,0,0,0,0,3,0
Department of Commerce,OIG,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Department of Commerce,OS,1,17,1,1,16,1,1,19,1,1,10,0,0,2,0
Department of Commerce,USPTO,0,60,10,0,48,10,0,70,14,0,52,11,0,10,1
Department of Education,ACSFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Education,FSA,0,47,0,0,47,0,0,52,3,0,35,1,0,9,0
Department of Education,IES,0,4,0,0,4,0,0,5,1,0,0,0,0,2,0
Department of Education,NAGB,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Department of Education,OCFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Education,OCIO,0,23,1,0,23,1,0,24,4,0,22,1,0,1,1
Department of Education,OCO,0,2,0,0,2,0,0,2,2,0,1,1,0,1,1
Department of Education,OCR,0,2,0,0,2,0,0,2,1,0,2,2,0,0,0
Department of Education,ODS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Education,OELA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Department of Education,OESE,0,4,0,0,3,0,0,4,10,0,1,3,0,1,0
Department of Education,OFO,0,10,1,0,10,1,0,11,10,0,8,9,0,0,0
Department of Education,OGC,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0
Department of Education,OIG,0,1,0,0,1,0,0,3,0,0,3,0,0,0,0
Department of Education,OII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Education,OLCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Education,OM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Education,OPE,0,0,0,0,0,0,0,2,5,0,0,2,0,0,2
Department of Education,OPEPD,0,3,0,0,2,0,0,2,4,0,2,3,0,1,1
Department of Education,OS,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0
Department of Education,OSDFS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Education,OSERS,0,2,0,0,2,0,0,3,1,0,0,1,0,1,0
Department of Education,OUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Education,OVAE/OCTAE,0,0,1,0,0,1,0,0,4,0,0,0,0,0,3
Department of Energy,EIA,0,6,0,0,6,0,0,8,0,0,9,0,0,0,0
Department of Energy,Infrastructure & PMA,4,11,0,2,10,0,3,12,0,2,12,1,0,2,0
Department of Energy,NNSA,10,80,1,10,45,1,11,58,9,11,75,6,1,2,0
Department of Energy,Science & Innovation,0,72,3,0,56,2,0,47,13,0,36,6,0,24,5
Department of Energy,Staff Offices,4,105,6,4,88,6,4,99,9,3,73,5,1,10,2
Department of Health and Human Services,ACF,0,41,0,0,34,0,0,41,51,0,23,14,0,16,29
Department of Health and Human Services,ACL,0,5,1,0,5,1,0,5,1,0,0,0,0,5,1
Department of Health and Human Services,AHRQ,0,22,0,0,22,0,0,22,8,0,6,2,0,16,5
Department of Health and Human Services,CDC,10,235,0,10,235,0,11,267,154,7,198,155,4,67,16
Department of Health and Human Services,CMS,19,204,0,19,191,0,17,190,0,19,189,7,0,15,2
Department of Health and Human Services,FDA,14,85,0,14,85,0,14,83,15,12,80,15,0,0,0
Department of Health and Human Services,HRSA,1,34,2,1,34,2,1,39,6,1,37,4,0,3,1
Department of Health and Human Services,IHS,19,12,0,19,12,0,20,13,0,3,6,0,0,0,0
Department of Health and Human Services,NIH,9,54,0,9,53,0,9,54,3,9,53,3,0,0,0
Department of Health and Human Services,OIG,0,13,0,0,13,0,0,13,0,0,13,0,0,0,0
Department of Health and Human Services,OS,5,65,8,5,60,8,7,87,26,6,57,16,0,11,3
Department of Health and Human Services,SAMHSA,0,18,0,0,18,0,0,18,7,0,18,7,0,0,0
Department of Homeland Security,CBP,16,127,0,14,124,0,16,127,0,16,118,0,0,0,0
Department of Homeland Security,CISA,11,16,2,11,14,2,11,17,2,10,13,2,1,2,0
Department of Homeland Security,DHS HQ,25,58,3,20,57,3,25,57,2,23,58,3,1,0,0
Department of Homeland Security,FEMA,23,58,6,22,56,6,23,57,6,22,56,5,0,0,0
Department of Homeland Security,FLETC,0,12,0,0,3,0,0,12,1,0,11,0,0,0,0
Department of Homeland Security,ICE,17,44,0,15,44,0,19,60,3,19,56,2,0,0,0
Department of Homeland Security,OIG,2,2,0,1,1,0,2,2,0,2,3,0,0,0,0
Department of Homeland Security,S&T,3,27,3,3,24,3,3,23,3,3,19,3,0,0,0
Department of Homeland Security,TSA,27,48,1,22,48,1,24,48,1,26,40,1,1,1,0
Department of Homeland Security,USCIS,3,33,0,3,33,0,3,33,1,3,33,1,0,0,0
Department of Homeland Security,USSS,10,24,0,10,24,0,10,24,0,10,21,0,0,0,0
Department of Housing and Urban Development,ADMIN,0,5,1,0,5,1,0,5,1,0,0,0,0,0,0
Department of Housing and Urban Development,CFO,0,6,1,0,6,1,0,6,1,0,0,0,0,0,0
Department of Housing and Urban Development,CPD,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0
Department of Housing and Urban Development,CPO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Housing and Urban Development,ENFC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Housing and Urban Development,FHEO,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Department of Housing and Urban Development,FPM,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0
Department of Housing and Urban Development,GNMA,0,8,0,0,8,0,0,8,0,0,8,0,0,0,0
Department of Housing and Urban Development,HSG,0,26,2,0,26,2,0,26,2,0,0,0,0,0,0
Department of Housing and Urban Development,OCIO,0,24,2,0,24,2,0,24,2,0,1,0,0,2,0
Department of Housing and Urban Development,ODEEO,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Department of Housing and Urban Development,ODOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Housing and Urban Development,OGC,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0
Department of Housing and Urban Development,OIG,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0
Department of Housing and Urban Development,OPA,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Department of Housing and Urban Development,PDR,0,4,1,0,4,1,0,4,1,0,0,0,0,0,0
Department of Housing and Urban Development,PIH,0,11,1,0,11,1,0,11,1,0,0,0,0,0,0
Department of Housing and Urban Development,REAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Department of Justice,ATF,6,24,0,5,23,0,6,24,2,6,24,2,0,0,0
Department of Justice,BOP,2,12,0,0,9,0,2,12,0,2,11,0,0,0,0
Department of Justice,DEA,7,21,0,6,20,0,7,21,0,7,20,0,0,0,0
Department of Justice,EOUSA,0,36,0,0,30,0,0,36,0,0,35,0,0,0,0
